objectID;food_type;stars_count;reviews_count;neighborhood;phone_number;price_range;dining_style
116272;Steak;4.2;204;Pepper Pike;(216) 378-8988;$31 to $50;Fine Dining
138901;Sushi;4.3;75;Medina;(330) 661-0606;$30 and under;Casual Dining
96892;Italian;4.3;161;Bath;(330) 666-9990;$30 and under;Casual Dining
108532;American;4.5;159;Boardman;(330) 965-5899;$30 and under;Casual Dining
25840;Sushi;4.5;332;Shaker Heights;(216) 767-1111;$30 and under;Casual Dining
136147;Italian;3.9;55;Akron;(330) 374-0025;$30 and under;Casual Dining
106828;Seafood;4.5;181;Sandusky;(419) 625-6373;$31 to $50;Casual Elegant
110065;Italian;4.4;215;The Flats;(216) 862-8065;$31 to $50;Casual Dining
90433;Italian;4.4;375;Akron;(234) 678-3612;$30 and under;Casual Elegant
117703;Southern;4.1;173;Hudson;(234) 380-1789;$30 and under;Fine Dining
107638;American;4.5;127;Mentor;(440) 974-3572;$30 and under;Casual Elegant
107134;American;4.7;139;Sandusky;(419) 502-9463;$30 and under;Casual Dining
112477;American;4.2;241;Cleveland Heights;(216) 795-0550;$30 and under;Casual Dining
103036;American;4.8;24;Cleveland East;(216) 707-4051;$30 and under;Casual Dining
90835;American;4.5;607;Akron;(330) 375-5050;$30 and under;Casual Elegant
29239;Global, International;4.5;968;Tremont;(216) 583-9999;$30 and under;Casual Dining
4465;Contemporary American;4.7;3049;Lakewood;(216) 228-2250;$31 to $50;Fine Dining
37129;American;4.5;1477;Tremont;(216) 274-1200;$31 to $50;Casual Elegant
86371;Sushi;4.6;147;Beachwood;(216) 464-1720;$30 and under;Casual Dining
93931;American;4.4;518;Akron;(330) 253-1234;$30 and under;Casual Elegant
51502;Contemporary American;4.4;649;Hudson;(330) 342-3667;$30 and under;Casual Dining
106723;American;4.4;183;Akron;(330) 535-6410;$30 and under;Casual Dining
90436;Contemporary American;4.4;290;New Bern;(252) 635-1879;$30 and under;Casual Elegant
7551;Asian;4.5;149;Wilmington;(910) 763-3172;$30 and under;Casual Elegant
7581;Tapas / Small Plates;4.5;965;Wilmington;(910) 762-1922;$30 and under;Casual Elegant
148297;American;4.6;831;Gahanna;(614) 855-9840;$31 to $50;Casual Dining
103939;American;4.5;158;Upper Arlington;(614) 485-1750;$30 and under;Casual Elegant
18712;Steakhouse;4.6;2210;Polaris;(614) 433-7307;$50 and over;Fine Dining
26842;Italian;4.3;1071;Columbus;(614) 224-9373;$30 and under;Casual Elegant
147982;Italian;4.4;119;Westerville;(614) 895-8890;$30 and under;Casual Elegant
4148;Italian;4.3;525;Grandview Heights;(614) 488-2104;$30 and under;Casual Elegant
10141;Italian;4.7;1382;Victorian Village;(614) 294-7383;$31 to $50;Casual Elegant
110464;Contemporary American;4.5;512;Worthington;(614) 847-1166;$30 and under;Casual Elegant
23113;American;4.5;1283;Polaris;(614) 431-5598;$30 and under;Casual Elegant
148096;Contemporary American;4.5;126;Marysville;(937) 553-9030;$30 and under;Casual Elegant
3923;Contemporary American;4.4;869;Worthington;(614) 885-2600;$30 and under;Casual Elegant
11704;Contemporary American;4.7;2694;German Village;(614) 228-4343;$31 to $50;Fine Dining
13966;Contemporary American;4.5;1739;Columbus;(614) 629-0000;$31 to $50;Fine Dining
91624;American;4.4;283;Columbus;(614) 484-5287;$30 and under;Casual Elegant
140680;Contemporary American;4.2;91;Logan;(740) 380-7489;$31 to $50;Casual Elegant
97042;Contemporary American;4.5;385;Dublin;(614) 792-3424;$30 and under;Casual Elegant
111703;Barbecue;4.2;212;Dublin;(614) 791-7427;$30 and under;Casual Dining
110209;Asian;4.3;63;Dublin;(614) 798-8300;$30 and under;Casual Dining
117997;American;4.5;872;Upper Arlington;(614) 487-0622;$31 to $50;Casual Dining
12364;Steakhouse;4.5;1802;Bexley;(614) 231-8238;$31 to $50;Casual Elegant
7367;American;3.8;679;Columbus;(614) 233-7541;$30 and under;Casual Elegant
110188;Asian;4.3;74;Easton;(614) 471-1000;$30 and under;Casual Dining
5401;Seafood;4.3;2187;Grandview Heights;(614) 291-3474;$30 and under;Casual Elegant
95767;Brazilian Steakhouse;4.5;655;Columbus;(614) 472-4072;$31 to $50;Casual Elegant
5325;Spanish;4.7;1850;German Village;(614) 443-3699;$31 to $50;Casual Elegant
82828;Contemporary American;4.4;512;Columbus;(614) 222-8830;$30 and under;Casual Elegant
113596;Contemporary American;4.4;1252;Columbus;(614) 428-6999;$30 and under;Casual Dining
6654;Steakhouse;4.3;1049;Columbus;(614) 621-2333;$31 to $50;Fine Dining
116098;Contemporary American;4.5;486;Columbus;(614) 429-3936;$30 and under;Casual Elegant
